bd_id;wk_id;stage;label;uc;axis
kuchnie-58o;wk-6716e9c8;1;Decor miniature images (90/148 missing);UC-3;product
kuchnie-7pc;wk-c67ffaa1;1;Color-family audit (K522);UC-3;product
kuchnie-4n8;wk-54bde4be;1;UC-3 session: adopt the catalog configurator;UC-3;product
kuchnie-kei;wk-6b516fdf;1;Freeze the UC-3 selection set onto the spine;UC-3;product
kuchnie-mqy;wk-e162877d;1;UC-3 decor picks feed the UC-1 widelka live;UC-3;product
kuchnie-55g;wk-9faa9de0;1;Sample (probki) request after the first visit;UC-3;product
kuchnie-cir;wk-02a62298;2;Project/Order spine (threads 1-11);UC-6;product
kuchnie-paq;wk-f347f06c;2;Artifact-kind vocabulary + variant provenance;UC-6;product
kuchnie-6ci;wk-54d5b21c;2;Per-stage required-artifact checklist;UC-6;product
kuchnie-5wi;wk-dc941f55;2;Self-registering artifacts at the ERP seam;UC-6;product
kuchnie-l8n;wk-a2688db9;2;Terminal lost state for a dead project;UC-6;product
kuchnie-m5d;wk-71ac4130;2;Find a project by client name or address;UC-6;product
kuchnie-5tt;wk-81a47ab8;3;Extraction fidelity r2 (drawer stacks);UC-2;product
kuchnie-el6;wk-cd815fba;3;Extraction r3 (front heights, NL derivation);UC-2;product
kuchnie-djb;wk-99b51e00;3;bpy roster contradiction;;process
kuchnie-2bw;;3;Manifest schema drift (48 errors);UC-2;product
kuchnie-92j;;4;G8 drawer-order semantics (scrap-risk);UC-2;product
kuchnie-6sm;;4;Drawer-box material field (G9);UC-2;product
kuchnie-8vv;;4;Front margin shop setting (G12);UC-2;product
kuchnie-33g;;4;Blum runner geometry vs Montageanleitung;UC-2;product
kuchnie-no6;wk-5cb8c45e;4;Dead CabinetGeometry;;process
kuchnie-9yz;wk-cb6a17c8;4;Emission gated on buildability verdict (ext 5a);UC-2;product
kuchnie-a48;wk-39ed9155;5;Supplier price-file import;UC-7;product
kuchnie-ubc;wk-593a317b;5;Purchasing artifacts (offer loop, hardware CSVs);UC-4;product
kuchnie-oqu;wk-6011d8bf;7;DXF annotation layers port;UC-2;product
kuchnie-uz1;wk-4c37f4ee;9;Worktop per-lm BOM;UC-4;product
kuchnie-zw2;wk-985a7dc2;0;Generated dashboard (this);;process
kuchnie-tai;wk-89a668a2;4;Buildability verdict (UC-2 step 5);UC-2;product
kuchnie-q83;wk-a9212b40;0;Dashboard increment 1 (by-goal view);;process
kuchnie-gfy;wk-382ddd32;0;Conformance-join spec (Phase 1 inc 0);;process
kuchnie-xdc;wk-0d7a80d2;0;test-health satellite R4 (inc 1);;process
kuchnie-7ai;wk-9d77de94;0;Dashboard Completeness R7 (inc 2);;process
kuchnie-31x;wk-9fb28a32;0;Backward-trace R2-lite (inc 3);;process
kuchnie-82w;wk-3894b44c;0;Upstream drafts, draft-only (inc 4);;process
kuchnie-5nm;wk-b29f670a;0;Glossary burn-down (41 domain-surface gaps);;process
kuchnie-8mw;wk-64266e86;0;Consolidate three BOM folds to one source;;process
kuchnie-b30;wk-a898481e;0;DrawerBoxSpec parameter object;;process
kuchnie-hij;wk-b669f4f5;0;Split ERP god-states;;process
kuchnie-yvm;wk-acc8e094;0;Structured findings from validate_rows;;process
kuchnie-b2u;wk-b440d8bb;0;Hardware-source consolidation (rules engine vs accessories);;process
kuchnie-bl4;;5;Service prices materialized (CNC, plinth rates);UC-7;product
kuchnie-h9h;;5;XLS adapter for price ingestion;UC-7;product
kuchnie-nu0;;5;Cost-trace Suma freshness marker;UC-7;product
kuchnie-a3y;wk-3141488c;9;Variant worktop axis into purchasing lines;UC-4;product
kuchnie-7mh;;5;Variant derivation gated on buildability (ext-5a in ERP);UC-4;product
kuchnie-45l;wk-3fd0fac4;2;Survey pack (artifact kinds + 2->3 gate);UC-12;product
kuchnie-8yk;wk-29bb6401;3;L-layout model (runs+corner+positions);UC-11;product
kuchnie-456;wk-cc0daf81;3;Adapter position extraction r4 (two-leg scene);UC-2;product
kuchnie-lzl;wk-0bc4d5c4;3;Height parameter set (ProjectDefaults);UC-11;product
;;4;Appliance modules + ext-2a exclusion enforcement;UC-2;product
;;4;Corner strategy object (G2 unpark);UC-11;product
;;4;Design gates G3/G5/G7 unpark;UC-11;product
;;4;dolna_drzwiowa/szufladowa completion + tall column;UC-2;product
;;9;Worktop order sheet (joint + cutout positions);UC-11;product
;;7;Elevation/plan sheets (SVG);UC-11;product
;;5;Quote print document;UC-1;product
;;1;Krono I/L/U presets;UC-3;product
kuchnie-a44;wk-224f3712;1;Rough-quote canvas widelka (shipped 2026-08-02);UC-1;product
kuchnie-60t;wk-59b943b1;1;Labor cennik + owner-only margin view;UC-1;product
kuchnie-bf0;;0;Screens spec OPEN states;UC-1;process
kuchnie-3ue;;0;Gate 60/63 drift from offers increment;;process
kuchnie-mbn;;3;L-layout hardening follow-ups;UC-11;process
kuchnie-wcj;wk-075803aa;3;TURNS mapping degenerate in validator;UC-11;process
kuchnie-15c;wk-a1898db5;0;Deep traceability: constants claims + coverage gate;;process
kuchnie-xjm;wk-8908bacc;0;Migrate 11 rg-evidence claims to grep;;process
